imgurl,date,playerurl,title,bnumber,issue,assetindex
https://dlcs.io/iiif-img/2/1/ae72d826-e820-454e-bba9-7a195acc2e8b/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1929-08-31T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=333&s=0&cv=41,"The chemist and druggist, issue 2586 - 31. August 1929",b19974760,333,41
https://dlcs.io/iiif-img/2/1/d97a00c6-fb67-4ea0-a10d-a417e1417e63/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1929-11-16T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=344&s=0&cv=8,"The chemist and druggist, issue 2597 - 16. November 1929",b19974760,344,8
https://dlcs.io/iiif-img/2/1/e20e1919-0947-4a5e-8a7e-c331182d999e/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1929-11-16T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=344&s=0&cv=102,"The chemist and druggist, issue 2597 - 16. November 1929",b19974760,344,102
https://dlcs.io/iiif-img/2/1/2ff88c46-ebf5-4a77-bb09-0c61a26d06b0/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1929-11-23T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=345&s=0&cv=18,"The chemist and druggist, issue 2598 - 23. November 1929",b19974760,345,18
https://dlcs.io/iiif-img/2/1/79ad3c6c-cd3e-4867-a20b-b1556f570c91/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1929-12-21T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=349&s=0&cv=8,"The chemist and druggist, issue 2602 - 21. December 1929",b19974760,349,8
https://dlcs.io/iiif-img/2/1/b5bfb471-f6d0-473f-9975-e50f196ac827/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1929-12-21T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=349&s=0&cv=91,"The chemist and druggist, issue 2602 - 21. December 1929",b19974760,349,91
https://dlcs.io/iiif-img/2/1/e8c658cd-78d3-4ab8-895c-532ca8dfd9f6/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1930-02-08T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=356&s=0&cv=61,"The chemist and druggist, issue 2609 - 8. February 1930",b19974760,356,61
https://dlcs.io/iiif-img/2/1/c0c55dba-c404-404b-a466-71a554982680/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1930-04-26T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=367&s=0&cv=80,"The chemist and druggist, issue 2620 - 26. April 1930",b19974760,367,80
https://dlcs.io/iiif-img/2/1/5d6680d3-cf5c-4a28-a98c-13dd3310715a/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1930-06-07T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=373&s=0&cv=40,"The chemist and druggist, issue 2626 - 7. June 1930",b19974760,373,40
https://dlcs.io/iiif-img/2/1/9d5b8875-507b-4bc8-9de8-2750058980a4/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1930-06-28T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=376&s=0&cv=160,"The chemist and druggist, issue 2629 - 28. June 1930",b19974760,376,160
https://dlcs.io/iiif-img/2/1/d42ffab5-94cc-46bf-99f3-579c7024cbf0/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1931-02-28T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=385&s=0&cv=14,"The chemist and druggist, issue 2664 - 28. February 1931",b19974760,385,14
https://dlcs.io/iiif-img/2/1/2d6bedc9-5883-480f-908e-715a1e2b0d73/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1931-04-25T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=393&s=0&cv=120,"The chemist and druggist, issue 2672 - 25. April 1931",b19974760,393,120
